wavenumber,k
1000,2.15E-05
1002.84,2.12E-05
1005.67,2.10E-05
1008.51,2.08E-05
1011.35,2.06E-05
1014.19,2.04E-05
1017.02,2.03E-05
1019.86,2.01E-05
1022.7,2.00E-05
1025.54,1.99E-05
1028.37,1.98E-05
1031.21,1.97E-05
1034.05,1.96E-05
1036.89,1.95E-05
1039.72,1.94E-05
1042.56,1.94E-05
1045.4,1.93E-05
1048.24,1.93E-05
1051.07,1.92E-05
1053.91,1.92E-05
1056.75,1.91E-05
1059.59,1.91E-05
1062.42,1.91E-05
1065.26,1.91E-05
1068.1,1.90E-05
1070.94,1.90E-05
1073.77,1.90E-05
1076.61,1.90E-05
1079.45,1.90E-05
1082.29,1.90E-05
1085.12,1.90E-05
1087.96,1.90E-05
1090.8,1.90E-05
1093.64,1.90E-05
1096.47,1.90E-05
1099.31,1.90E-05
1102.15,1.90E-05
1104.99,1.90E-05
1107.82,1.91E-05
1110.66,1.91E-05
1113.5,1.91E-05
1116.34,1.91E-05
1119.17,1.91E-05
1122.01,1.91E-05
1124.85,1.92E-05
1127.69,1.92E-05
1130.52,1.92E-05
1133.36,1.92E-05
1136.2,1.93E-05
1139.04,1.93E-05
1141.87,1.93E-05
1144.71,1.93E-05
1147.55,1.94E-05
1150.39,1.94E-05
1153.22,1.94E-05
1156.06,1.94E-05
1158.9,1.95E-05
1161.73,1.95E-05
1164.57,1.95E-05
1167.41,1.96E-05
1170.25,1.96E-05
1173.08,1.96E-05
1175.92,1.97E-05
1178.76,1.97E-05
1181.6,1.97E-05
1184.43,1.98E-05
1187.27,1.98E-05
1190.11,1.98E-05
1192.95,1.99E-05
1195.78,1.99E-05
1198.62,1.99E-05
1201.46,2.00E-05
1204.3,2.00E-05
1207.13,2.00E-05
1209.97,2.01E-05
1212.81,2.01E-05
1215.65,2.02E-05
1218.48,2.02E-05
1221.32,2.02E-05
1224.16,2.03E-05
1227,2.03E-05
1229.83,2.03E-05
1232.67,2.04E-05
1235.51,2.04E-05
1238.35,2.05E-05
1241.18,2.05E-05
1244.02,2.05E-05
1246.86,2.06E-05
1249.7,2.06E-05
1252.53,2.07E-05
1255.37,2.07E-05
1258.21,2.07E-05
1261.05,2.08E-05
1263.88,2.08E-05
1266.72,2.09E-05
1269.56,2.09E-05
1272.4,2.10E-05
1275.23,2.10E-05
1278.07,2.10E-05
1280.91,2.11E-05
1283.75,2.11E-05
1286.58,2.12E-05
1289.42,2.12E-05
1292.26,2.12E-05
1295.1,2.13E-05
1297.93,2.13E-05
1300.77,2.14E-05
1303.61,2.14E-05
1306.45,2.15E-05
1309.28,2.15E-05
1312.12,2.15E-05
1314.96,2.16E-05
1317.79,2.16E-05
1320.63,2.17E-05
1323.47,2.17E-05
1326.31,2.18E-05
1329.14,2.18E-05
1331.98,2.18E-05
1334.82,2.19E-05
1337.66,2.19E-05
1340.49,2.20E-05
1343.33,2.20E-05
1346.17,2.21E-05
1349.01,2.21E-05
1351.84,2.21E-05
1354.68,2.22E-05
1357.52,2.22E-05
1360.36,2.23E-05
1363.19,2.23E-05
1366.03,2.24E-05
1368.87,2.24E-05
1371.71,2.25E-05
1374.54,2.25E-05
1377.38,2.25E-05
1380.22,2.26E-05
1383.06,2.26E-05
1385.89,2.27E-05
1388.73,2.27E-05
1391.57,2.28E-05
1394.41,2.28E-05
1397.24,2.29E-05
1400.08,2.29E-05
1402.92,2.29E-05
1405.76,2.30E-05
1408.59,2.30E-05
1411.43,2.31E-05
1414.27,2.31E-05
1417.11,2.32E-05
1419.94,2.32E-05
1422.78,2.33E-05
1425.62,2.33E-05
1428.46,2.34E-05
1431.29,2.34E-05
1434.13,2.34E-05
1436.97,2.35E-05
1439.81,2.35E-05
1442.64,2.36E-05
1445.48,2.36E-05
1448.32,2.37E-05
1451.16,2.37E-05
1453.99,2.38E-05
1456.83,2.38E-05
1459.67,2.39E-05
1462.51,2.39E-05
1465.34,2.39E-05
1468.18,2.40E-05
1471.02,2.40E-05
1473.85,2.41E-05
1476.69,2.41E-05
1479.53,2.42E-05
1482.37,2.42E-05
1485.2,2.43E-05
1488.04,2.43E-05
1490.88,2.44E-05
1493.72,2.44E-05
1496.55,2.44E-05
1499.39,2.45E-05
1502.23,2.45E-05
1505.07,2.46E-05
1507.9,2.46E-05
1510.74,2.47E-05
1513.58,2.47E-05
1516.42,2.48E-05
1519.25,2.48E-05
1522.09,2.49E-05
1524.93,2.49E-05
1527.77,2.50E-05
1530.6,2.50E-05
1533.44,2.50E-05
1536.28,2.51E-05
1539.12,2.51E-05
1541.95,2.52E-05
1544.79,2.52E-05
1547.63,2.53E-05
1550.47,2.53E-05
1553.3,2.54E-05
1556.14,2.54E-05
1558.98,2.55E-05
1561.82,2.55E-05
1564.65,2.56E-05
1567.49,2.56E-05
1570.33,2.56E-05
1573.17,2.57E-05
1576,2.57E-05
1578.84,2.58E-05
1581.68,2.58E-05
1584.52,2.59E-05
1587.35,2.59E-05
1590.19,2.60E-05
1593.03,2.60E-05
1595.87,2.61E-05
1598.7,2.61E-05
1601.54,2.62E-05
1604.38,2.62E-05
1607.22,2.63E-05
1610.05,2.63E-05
1612.89,2.63E-05
1615.73,2.64E-05
1618.57,2.64E-05
1621.4,2.65E-05
1624.24,2.65E-05
1627.08,2.66E-05
1629.91,2.66E-05
1632.75,2.67E-05
1635.59,2.67E-05
1638.43,2.68E-05
1641.26,2.68E-05
1644.1,2.69E-05
1646.94,2.69E-05
1649.78,2.70E-05
1652.61,2.70E-05
1655.45,2.70E-05
1658.29,2.71E-05
1661.13,2.71E-05
1663.96,2.72E-05
1666.8,2.72E-05
1669.64,2.73E-05
1672.48,2.73E-05
1675.31,2.74E-05
1678.15,2.74E-05
1680.99,2.75E-05
1683.83,2.75E-05
1686.66,2.76E-05
1689.5,2.76E-05
1692.34,2.77E-05
1695.18,2.77E-05
1698.01,2.78E-05
1700.85,2.78E-05
1703.69,2.78E-05
1706.53,2.79E-05
1709.36,2.79E-05
1712.2,2.80E-05
1715.04,2.80E-05
1717.88,2.81E-05
1720.71,2.81E-05
1723.55,2.82E-05
1726.39,2.82E-05
1729.23,2.83E-05
1732.06,2.83E-05
1734.9,2.84E-05
1737.74,2.84E-05
1740.58,2.85E-05
1743.41,2.85E-05
1746.25,2.86E-05
1749.09,2.86E-05
1751.93,2.86E-05
1754.76,2.87E-05
1757.6,2.87E-05
1760.44,2.88E-05
1763.28,2.88E-05
1766.11,2.89E-05
1768.95,2.89E-05
1771.79,2.90E-05
1774.63,2.90E-05
1777.46,2.91E-05
1780.3,2.91E-05
1783.14,2.92E-05
1785.97,2.92E-05
1788.81,2.93E-05
1791.65,2.93E-05
1794.49,2.94E-05
1797.32,2.94E-05
1800.16,2.95E-05
1803,2.95E-05
1805.84,2.95E-05
1808.67,2.96E-05
1811.51,2.96E-05
1814.35,2.97E-05
1817.19,2.97E-05
1820.02,2.98E-05
1822.86,2.98E-05
1825.7,2.99E-05
1828.54,2.99E-05
1831.37,3.00E-05
1834.21,3.00E-05
1837.05,3.01E-05
1839.89,3.01E-05
1842.72,3.02E-05
1845.56,3.02E-05
1848.4,3.03E-05
1851.24,3.03E-05
1854.07,3.04E-05
1856.91,3.04E-05
1859.75,3.05E-05
1862.59,3.05E-05
1865.42,3.05E-05
1868.26,3.06E-05
1871.1,3.06E-05
1873.94,3.07E-05
1876.77,3.07E-05
1879.61,3.08E-05
1882.45,3.08E-05
1885.29,3.09E-05
1888.12,3.09E-05
1890.96,3.10E-05
1893.8,3.10E-05
1896.64,3.11E-05
1899.47,3.11E-05
1902.31,3.12E-05
1905.15,3.12E-05
1907.99,3.13E-05
1910.82,3.13E-05
1913.66,3.14E-05
1916.5,3.14E-05
1919.34,3.15E-05
1922.17,3.15E-05
1925.01,3.16E-05
1927.85,3.16E-05
1930.69,3.16E-05
1933.52,3.17E-05
1936.36,3.17E-05
1939.2,3.18E-05
1942.03,3.18E-05
1944.87,3.19E-05
1947.71,3.19E-05
1950.55,3.20E-05
1953.38,3.20E-05
1956.22,3.21E-05
1959.06,3.21E-05
1961.9,3.22E-05
1964.73,3.22E-05
1967.57,3.23E-05
1970.41,3.23E-05
1973.25,3.24E-05
1976.08,3.24E-05
1978.92,3.25E-05
1981.76,3.25E-05
1984.6,3.26E-05
1987.43,3.26E-05
1990.27,3.27E-05
1993.11,3.27E-05
1995.95,3.28E-05
1998.78,3.28E-05
2001.62,3.29E-05
2004.46,3.29E-05
2007.3,3.29E-05
2010.13,3.30E-05
2012.97,3.30E-05
2015.81,3.31E-05
2018.65,3.31E-05
2021.48,3.32E-05
2024.32,3.32E-05
2027.16,3.33E-05
2030,3.33E-05
2032.83,3.34E-05
2035.67,3.34E-05
2038.51,3.35E-05
2041.35,3.35E-05
2044.18,3.36E-05
2047.02,3.36E-05
2049.86,3.37E-05
2052.7,3.37E-05
2055.53,3.38E-05
2058.37,3.38E-05
2061.21,3.39E-05
2064.05,3.39E-05
2066.88,3.40E-05
2069.72,3.40E-05
2072.56,3.41E-05
2075.4,3.41E-05
2078.23,3.42E-05
2081.07,3.42E-05
2083.91,3.43E-05
2086.75,3.43E-05
2089.58,3.43E-05
2092.42,3.44E-05
2095.26,3.44E-05
2098.09,3.45E-05
2100.93,3.45E-05
2103.77,3.46E-05
2106.61,3.46E-05
2109.44,3.47E-05
2112.28,3.47E-05
2115.12,3.48E-05
2117.96,3.48E-05
2120.79,3.49E-05
2123.63,3.49E-05
2126.47,3.50E-05
2129.31,3.50E-05
2132.14,3.51E-05
2134.98,3.51E-05
2137.82,3.52E-05
2140.66,3.52E-05
2143.49,3.53E-05
2146.33,3.53E-05
2149.17,3.54E-05
2152.01,3.54E-05
2154.84,3.55E-05
2157.68,3.55E-05
2160.52,3.56E-05
2163.36,3.56E-05
2166.19,3.57E-05
2169.03,3.57E-05
2171.87,3.58E-05
2174.71,3.58E-05
2177.54,3.59E-05
2180.38,3.59E-05
2183.22,3.60E-05
2186.06,3.60E-05
2188.89,3.61E-05
2191.73,3.61E-05
2194.57,3.61E-05
2197.41,3.62E-05
2200.24,3.62E-05
2203.08,3.63E-05
2205.92,3.63E-05
2208.76,3.64E-05
2211.59,3.64E-05
2214.43,3.65E-05
2217.27,3.65E-05
2220.11,3.66E-05
2222.94,3.66E-05
2225.78,3.67E-05
2228.62,3.67E-05
2231.46,3.68E-05
2234.29,3.68E-05
2237.13,3.69E-05
2239.97,3.69E-05
2242.81,3.70E-05
2245.64,3.70E-05
2248.48,3.71E-05
2251.32,3.71E-05
2254.15,3.72E-05
2256.99,3.72E-05
2259.83,3.73E-05
2262.67,3.73E-05
2265.5,3.74E-05
2268.34,3.74E-05
2271.18,3.75E-05
2274.02,3.75E-05
2276.85,3.76E-05
2279.69,3.76E-05
2282.53,3.77E-05
2285.37,3.77E-05
2288.2,3.78E-05
2291.04,3.78E-05
2293.88,3.79E-05
2296.72,3.79E-05
2299.55,3.80E-05
2302.39,3.80E-05
2305.23,3.81E-05
2308.07,3.81E-05
2310.9,3.82E-05
2313.74,3.82E-05
2316.58,3.83E-05
2319.42,3.83E-05
2322.25,3.84E-05
2325.09,3.84E-05
2327.93,3.85E-05
2330.77,3.85E-05
2333.6,3.86E-05
2336.44,3.86E-05
2339.28,3.87E-05
2342.12,3.87E-05
2344.95,3.88E-05
2347.79,3.88E-05
2350.63,3.89E-05
2353.47,3.89E-05
2356.3,3.89E-05
2359.14,3.90E-05
2361.98,3.90E-05
2364.82,3.91E-05
2367.65,3.91E-05
2370.49,3.92E-05
2373.33,3.92E-05
2376.17,3.93E-05
2379,3.93E-05
2381.84,3.94E-05
2384.68,3.94E-05
2387.52,3.95E-05
2390.35,3.95E-05
2393.19,3.96E-05
2396.03,3.96E-05
2398.87,3.97E-05
2401.7,3.97E-05
2404.54,3.98E-05
2407.38,3.98E-05
2410.21,3.99E-05
2413.05,3.99E-05
2415.89,4.00E-05
2418.73,4.00E-05
2421.56,4.01E-05
2424.4,4.01E-05
2427.24,4.02E-05
2430.08,4.02E-05
2432.91,4.03E-05
2435.75,4.03E-05
2438.59,4.04E-05
2441.43,4.04E-05
2444.26,4.05E-05
2447.1,4.05E-05
2449.94,4.06E-05
2452.78,4.06E-05
2455.61,4.07E-05
2458.45,4.07E-05
2461.29,4.08E-05
2464.13,4.08E-05
2466.96,4.09E-05
2469.8,4.09E-05
2472.64,4.10E-05
2475.48,4.10E-05
2478.31,4.11E-05
2481.15,4.11E-05
2483.99,4.12E-05
2486.83,4.12E-05
2489.66,4.13E-05
2492.5,4.13E-05
2495.34,4.14E-05
2498.18,4.14E-05
2501.01,4.15E-05
2503.85,4.15E-05
2506.69,4.16E-05
2509.53,4.16E-05
2512.36,4.17E-05
2515.2,4.17E-05
2518.04,4.18E-05
2520.88,4.18E-05
2523.71,4.19E-05
2526.55,4.19E-05
2529.39,4.20E-05
2532.23,4.20E-05
2535.06,4.21E-05
2537.9,4.21E-05
2540.74,4.22E-05
2543.58,4.22E-05
2546.41,4.23E-05
2549.25,4.23E-05
2552.09,4.24E-05
2554.93,4.24E-05
2557.76,4.25E-05
2560.6,4.25E-05
2563.44,4.26E-05
2566.27,4.26E-05
2569.11,4.27E-05
2571.95,4.27E-05
2574.79,4.28E-05
2577.62,4.28E-05
2580.46,4.29E-05
2583.3,4.29E-05
2586.14,4.30E-05
2588.97,4.30E-05
2591.81,4.31E-05
2594.65,4.31E-05
2597.49,4.32E-05
2600.32,4.32E-05
2603.16,4.33E-05
2606,4.33E-05
2608.84,4.34E-05
2611.67,4.34E-05
2614.51,4.35E-05
2617.35,4.35E-05
2620.19,4.36E-05
2623.02,4.36E-05
2625.86,4.37E-05
2628.7,4.37E-05
2631.54,4.38E-05
2634.37,4.38E-05
2637.21,4.39E-05
2640.05,4.39E-05
2642.89,4.40E-05
2645.72,4.40E-05
2648.56,4.41E-05
2651.4,4.41E-05
2654.24,4.42E-05
2657.07,4.42E-05
2659.91,4.43E-05
2662.75,4.43E-05
2665.59,4.44E-05
2668.42,4.44E-05
2671.26,4.45E-05
2674.1,4.45E-05
2676.94,4.46E-05
2679.77,4.47E-05
2682.61,4.47E-05
2685.45,4.48E-05
2688.29,4.48E-05
2691.12,4.49E-05
2693.96,4.49E-05
2696.8,4.50E-05
2699.64,4.50E-05
2702.47,4.51E-05
2705.31,4.51E-05
2708.15,4.52E-05
2710.99,4.52E-05
2713.82,4.53E-05
2716.66,4.53E-05
2719.5,4.54E-05
2722.33,4.54E-05
2725.17,4.55E-05
2728.01,4.55E-05
2730.85,4.56E-05
2733.68,4.56E-05
2736.52,4.57E-05
2739.36,4.57E-05
2742.2,4.58E-05
2745.03,4.58E-05
2747.87,4.59E-05
2750.71,4.59E-05
2753.55,4.60E-05
2756.38,4.60E-05
2759.22,4.61E-05
2762.06,4.61E-05
2764.9,4.62E-05
2767.73,4.62E-05
2770.57,4.63E-05
2773.41,4.63E-05
2776.25,4.64E-05
2779.08,4.64E-05
2781.92,4.65E-05
2784.76,4.65E-05
2787.6,4.66E-05
2790.43,4.66E-05
2793.27,4.67E-05
2796.11,4.67E-05
2798.95,4.68E-05
2801.78,4.68E-05
2804.62,4.69E-05
2807.46,4.69E-05
2810.3,4.70E-05
2813.13,4.70E-05
2815.97,4.71E-05
2818.81,4.71E-05
2821.65,4.72E-05
2824.48,4.72E-05
2827.32,4.73E-05
2830.16,4.74E-05
2833,4.74E-05
2835.83,4.75E-05
2838.67,4.75E-05
2841.51,4.76E-05
2844.35,4.76E-05
2847.18,4.77E-05
2850.02,4.77E-05
2852.86,4.78E-05
2855.7,4.78E-05
2858.53,4.79E-05
2861.37,4.79E-05
2864.21,4.80E-05
2867.04,4.80E-05
2869.88,4.81E-05
2872.72,4.81E-05
2875.56,4.82E-05
2878.39,4.82E-05
2881.23,4.83E-05
2884.07,4.83E-05
2886.91,4.84E-05
2889.74,4.84E-05
2892.58,4.85E-05
2895.42,4.85E-05
2898.26,4.86E-05
2901.09,4.86E-05
2903.93,4.87E-05
2906.77,4.87E-05
2909.61,4.88E-05
2912.44,4.88E-05
2915.28,4.89E-05
2918.12,4.89E-05
2920.96,4.90E-05
2923.79,4.90E-05
2926.63,4.91E-05
2929.47,4.92E-05
2932.31,4.92E-05
2935.14,4.93E-05
2937.98,4.93E-05
2940.82,4.94E-05
2943.66,4.94E-05
2946.49,4.95E-05
2949.33,4.95E-05
2952.17,4.96E-05
2955.01,4.96E-05
2957.84,4.97E-05
2960.68,4.97E-05
2963.52,4.98E-05
2966.36,4.98E-05
2969.19,4.99E-05
2972.03,4.99E-05
2974.87,5.00E-05
2977.71,5.00E-05
2980.54,5.01E-05
2983.38,5.01E-05
2986.22,5.02E-05
2989.06,5.02E-05
2991.89,5.03E-05
2994.73,5.03E-05
2997.57,5.04E-05
3000.41,5.04E-05
3003.24,5.05E-05
3006.08,5.06E-05
3008.92,5.06E-05
3011.76,5.07E-05
3014.59,5.07E-05
3017.43,5.08E-05
3020.27,5.08E-05
3023.1,5.09E-05
3025.94,5.09E-05
3028.78,5.10E-05
3031.62,5.10E-05
3034.45,5.11E-05
3037.29,5.11E-05
3040.13,5.12E-05
3042.97,5.12E-05
3045.8,5.13E-05
3048.64,5.13E-05
3051.48,5.14E-05
3054.32,5.14E-05
3057.15,5.15E-05
3059.99,5.15E-05
3062.83,5.16E-05
3065.67,5.16E-05
3068.5,5.17E-05
3071.34,5.18E-05
3074.18,5.18E-05
3077.02,5.19E-05
3079.85,5.19E-05
3082.69,5.20E-05
3085.53,5.20E-05
3088.37,5.21E-05
3091.2,5.21E-05
3094.04,5.22E-05
3096.88,5.22E-05
3099.72,5.23E-05
3102.55,5.23E-05
3105.39,5.24E-05
3108.23,5.24E-05
3111.07,5.25E-05
3113.9,5.25E-05
3116.74,5.26E-05
3119.58,5.26E-05
3122.42,5.27E-05
3125.25,5.27E-05
3128.09,5.28E-05
3130.93,5.29E-05
3133.77,5.29E-05
3136.6,5.30E-05
3139.44,5.30E-05
3142.28,5.31E-05
3145.12,5.31E-05
3147.95,5.32E-05
3150.79,5.32E-05
3153.63,5.33E-05
3156.47,5.33E-05
3159.3,5.34E-05
3162.14,5.34E-05
3164.98,5.35E-05
3167.82,5.35E-05
3170.65,5.36E-05
3173.49,5.36E-05
3176.33,5.37E-05
3179.16,5.38E-05
3182,5.38E-05
3184.84,5.39E-05
3187.68,5.39E-05
3190.51,5.40E-05
3193.35,5.40E-05
3196.19,5.41E-05
3199.03,5.41E-05
3201.86,5.42E-05
3204.7,5.42E-05
3207.54,5.43E-05
3210.38,5.43E-05
3213.21,5.44E-05
3216.05,5.44E-05
3218.89,5.45E-05
3221.73,5.45E-05
3224.56,5.46E-05
3227.4,5.47E-05
3230.24,5.47E-05
3233.08,5.48E-05
3235.91,5.48E-05
3238.75,5.49E-05
3241.59,5.49E-05
3244.43,5.50E-05
3247.26,5.50E-05
3250.1,5.51E-05
3252.94,5.51E-05
3255.78,5.52E-05
3258.61,5.52E-05
3261.45,5.53E-05
3264.29,5.53E-05
3267.13,5.54E-05
3269.96,5.54E-05
3272.8,5.55E-05
3275.64,5.56E-05
3278.48,5.56E-05
3281.31,5.57E-05
3284.15,5.57E-05
3286.99,5.58E-05
3289.83,5.58E-05
3292.66,5.59E-05
3295.5,5.59E-05
3298.34,5.60E-05
3301.18,5.60E-05
3304.01,5.61E-05
3306.85,5.61E-05
3309.69,5.62E-05
3312.53,5.63E-05
3315.36,5.63E-05
3318.2,5.64E-05
3321.04,5.64E-05
3323.88,5.65E-05
3326.71,5.65E-05
3329.55,5.66E-05
